game_name,reviews_like_rate,all_reviews_number,user_defined_tags,,
Counter-Strike 2,86,8803754,"FPS, Action, Tactical",,
PUBG: BATTLEGROUNDS,59,2554482,"Survival, Shooter, Action, Tactical",,
ELDEN RING NIGHTREIGN,77,53426,"Souls-like, Open World, Fantasy, RPG",,
The Last of Us‚Ñ?Part I,79,45424,"Story Rich, Shooter, Survival, Horror",,
Red Dead Redemption 2,92,672140,"Open World, Story Rich, Adventure, Realistic, Shooter, Sandbox",,
Dota 2,81,2497040,"Strategy, Action, Combat",,
EA SPORTS FC‚Ñ?25,49,67600,"Sports, Simulation, Realistic",,
Project Zomboid,94,284985,"Early Access, RPG, Simulation, Survival, Open World, 2D",,
Game of Thrones: Kingsroad,61,2667,"Action, Adventure, RPG, Open World, Fantasy",,
Rust,87,1018247,"Survival, Crafting, Open World, RPG, Sandbox",,
F1¬Æ 25,88,394,"Driving, Sports, Simulation",,
Dead by Daylight,79,578396,"Horror, Survival, Stealth",,
RoadCraft,72,5134,"Simulation, Building, Driving",,
Football Manager 2024,90,13439,"Simulation, Sports, Management, Strategy",,
R.E.P.O.,96,147407,"Early Access, Horror",,
Detroit: Become Human,95,143663,"Story Rich, Visual Novel",,
HELLDIVERS‚Ñ?2,77,730995,"Shooter, Action",,
Apex Legends‚Ñ?67,67,993928,"FPS, Action, Survival",,
World of Warships,77,146455,"Shooter, Action, Tactical, Simulation, Realistic",,
Tom Clancy's Rainbow Six¬Æ Siege,84,1188329,"FPS, Tactical, War",,
eFootball‚Ñ?47,50,91979,"Sports, Simulation, Realistic",,
Dying Light 2 Stay Human: Reloaded Edition,79,145521,"Open World, Horror, RPG, Survival",,
Drive Beyond Horizons,80,5599,"Early Access, Adventure, Action, Simulation, Driving",,
"Warhammer 40,000: Space Marine 2",83,118194,"Action, Adventure, RPG, Shooter",,
Total War: WARHAMMER III,72,83564,"Turn-Based, Strategy, War, Fantasy, Tactical",,
Clair Obscur: Expedition 33,95,69546,"Turn-Based, Combat, Story Rich, Fantasy, JRPG, Souls-like, Adventure",,
Left 4 Dead 2,97,732065,"FPS, Action, Survival, Horror",,
Black Desert,75,58929,"MMORPG, Open World",,
DayZ,77,355731,"Survival, Open World, FPS, Adventure, Sandbox",,
Tainted Grail: The Fall of Avalon,87,8013,"Adventure, Open World, RPG, Fantasy",,
VRChat,75,239795,"Anime, Simulation, Open World, Sandbox",,
Schedule I,98,184389,"Early Access, Simulation, Action, Open World",,
Forza Horizon 5,88,206719,"Open World, Driving, Simulation, Sports",,
Marvel Rivals,79,283753,"Shooter, Action, Strategy",,
Limbus Company,83,62292,"Story Rich, Turn-Based, RPG",,
NBA 2K25,59,22284,"Sports, Simulation, Realistic",,
Tom Clancy‚Äôs The Division¬Æ 2,77,19554,"Open World, Shooter, Action, RPG",,
ELDEN RING,92,764598,"Souls-like, Open World, Fantasy, RPG",,
Mount & Blade II: Bannerlord,87,204795,"Strategy, Open World, RPG, War",,
Warframe,87,618991,"RPG, Shooter, Action",,
